run_id,timestamp_utc,strategy_id,strategy_version,variant,mode,tf,symbols,period_start,period_end,fold,stage,debug,git_commit,data_hash,author,params_json,artifacts_path,total_return,cagr,vol,sharpe,sortino,maxdd,calmar,trades,win_rate,profit_factor,avg_trade_net_bp,cost_share,exposure,funding_paid,random_pct,dsr,breadth
279d9cbc,2026-09-24T12:56:44.416455+00:00,S01,1.0.0,V0,portfolio,1d,BNBUSDT;XRPUSDT;SOLUSDT;TRXUSDT;DOGEUSDT;ADAUSDT;BCHUSDT;LINKUSDT;ZECUSDT,2023-01-01,2025-12-31,,dev,False,,,,,reports/dev/S01,0.23819067662951166,0.07381428352422703,0.06468840686571305,1.1330160669352394,1.991537439581615,-0.054916857200278946,1.344109755862943,189,0.10582010582010581,0.2236538783667321,-494.9078335627458,0.622960506994938,1.0,-135.94972478555434,,,
7db4a86d,2026-09-24T12:56:45.859646+00:00,S01,1.0.0,V0,pair,1d,BNBUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.04864906858892715,0.015960270765517315,0.01716675596395087,0.9309715954497305,1.5490702586641316,-0.017947481878686555,0.889276327085799,33,0.06060606060606061,0.02998419848997092,-565.4013216126788,0.5096454829227162,1.0,12.457303224569811,,,
2adcc7bb,2026-09-24T12:56:47.240694+00:00,S01,1.0.0,V0,pair,1d,XRPUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.04930634446955229,0.016172488794495843,0.01578047792165271,1.0245335913830445,2.0648578075016717,-0.013240845413799551,1.2214090784294593,45,0.06666666666666667,0.030123286211765767,-598.912526413644,3.1572131325084984,0.8666666666666667,-26.02793276853524,,,
421bbbdd,2026-09-24T12:56:48.677418+00:00,S01,1.0.0,V0,pair,1d,SOLUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.06534771889003466,0.021324601941816068,0.01706426300131539,1.245078429490438,2.2247305557511736,-0.014736827854748724,1.4470279596123892,15,0.13333333333333333,1.8819253452709497,296.4227734502591,0.3481492119498298,1.0,-43.81308407153467,,,
364ea34b,2026-09-24T12:56:50.133025+00:00,S01,1.0.0,V0,pair,1d,TRXUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.10442431780666106,0.03366224447844157,0.03524531671312211,0.9565467462488356,3.2075250218831672,-0.014216934242965995,2.3677569230578936,31,0.16129032258064516,0.5122970278211277,-329.10372855365256,0.4286348840592473,0.9945205479452055,-19.703286912308016,,,
de46bb29,2026-09-24T12:56:51.537909+00:00,S01,1.0.0,V0,pair,1d,DOGEUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.035246847877180576,0.011613552564787133,0.015696562174458237,0.7434618458502514,1.2968875019821613,-0.01947339841641549,0.5963803706186824,37,0.08108108108108109,0.11922866496304901,-652.3134157160168,1.6932779326333305,0.7835616438356164,-37.565356819402474,,,
1144fb48,2026-09-24T12:56:52.910310+00:00,S01,1.0.0,V0,pair,1d,ADAUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.04721497891951132,0.015496930885185778,0.01867892775298108,0.831668236699104,1.407001443649091,-0.02998076739558786,0.516895737881159,31,0.03225806451612903,0.011872715382145163,-862.6621618494174,9.72660829299056,0.8410958904109589,-42.50111522436664,,,
979512f2,2026-09-24T12:56:54.310272+00:00,S01,1.0.0,V0,pair,1d,BCHUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.033269982737568204,0.01096923027900698,0.01899027483366166,0.5839205857549303,1.3160990225490525,-0.02418041912100244,0.45364103178341575,33,0.12121212121212122,0.3228459112760501,-298.29244231934285,0.14140196717168693,0.8949771689497716,2.291554577201979,,,
26fed854,2026-09-24T12:56:55.667334+00:00,S01,1.0.0,V0,pair,1d,LINKUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.03174662170627074,0.01047215832191739,0.016461422531180957,0.6410821498474352,1.0983064531380522,-0.015275453038505638,0.685554680147271,42,0.11904761904761904,0.09006519600570953,-606.9853145853559,1.3712964363013143,0.7534246575342466,-39.148888279989286,,,
13ecb537,2026-09-24T12:56:57.076601+00:00,S01,1.0.0,V0,pair,1d,ZECUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.07323948707878603,0.0238402864840932,0.021604287812166424,1.1012786636748497,2.329955138066295,-0.014651980027373779,1.6271033975990432,35,0.05714285714285714,0.23238223751000825,-559.9807804347988,0.5313013444838363,0.8621004566210045,-17.557493117928278,,,
d2377d8c,2026-09-24T12:57:19.127049+00:00,S01b,1.0.0,V0,portfolio,1d,BNBUSDT;XRPUSDT;SOLUSDT;TRXUSDT;DOGEUSDT;ADAUSDT;BCHUSDT;LINKUSDT;ZECUSDT,2023-01-01,2025-12-31,,dev,False,,,,,reports/dev/S01b,0.20801834516035012,0.06502019553945937,0.06693899119063171,0.9785333854766427,1.6916252172410968,-0.08257915177644126,0.7873681690928771,138,0.15942028985507245,0.3378130540276741,-403.1451570622901,0.4932981653440928,1.0,-120.07400125790298,,,
33267fd0,2026-09-24T12:57:20.655832+00:00,S01b,1.0.0,V0,pair,1d,BNBUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.02458354845435129,0.008128268396160765,0.01725296738475783,0.4763853283728261,0.7752896281162275,-0.030124939394291395,0.2698185808699437,34,0.11764705882352941,0.07398075192155307,-473.52773311434265,3.683324181325871,1.0,0.7587742342535484,,,
c4b692ae,2026-09-24T12:57:22.159715+00:00,S01b,1.0.0,V0,pair,1d,XRPUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.010242963738579913,0.003402729544925265,0.017825551692110676,0.1994836227840175,0.3180630590672658,-0.03555091584541126,0.09571425838146087,43,0.23255813953488372,0.30090530672857685,-607.3655440286944,0.3910022637682782,1.0,-13.027009040374928,,,
ca605957,2026-09-24T12:57:23.665467+00:00,S01b,1.0.0,V0,pair,1d,SOLUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.03532287312351334,0.01163831518931846,0.017299806971956055,0.6778020936218357,1.1605702206361146,-0.024592253102409534,0.47325127717468657,30,0.2,0.8471750257698067,-318.2731997392428,0.39167555481576916,1.0,-65.8576584564719,,,
de75b3cc,2026-09-24T12:57:25.210091+00:00,S01b,1.0.0,V0,pair,1d,TRXUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.08543186314399098,0.02770275814498313,0.03515968696787959,0.7951835301544082,2.7115521582815214,-0.01315637152212934,2.1056533785463882,52,0.11538461538461539,0.3184470723895756,-318.8783836191105,0.9592872840975059,1.0,-44.210154357809344,,,
09cf9424,2026-09-24T12:57:26.739221+00:00,S01b,1.0.0,V0,pair,1d,DOGEUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.01832662060302015,0.00607193057279054,0.015851514987274967,0.3911145485339629,0.6482610322249588,-0.022743066443682625,0.2669794149274514,23,0.08695652173913043,0.015724118192180874,-761.0333733814915,1.3596384131639183,1.0,-23.32744679030446,,,
1c065c54,2026-09-24T12:57:28.262705+00:00,S01b,1.0.0,V0,pair,1d,ADAUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.014473095938303038,0.0048012761665297,0.018440758055923667,0.2822547388592716,0.40895146662811915,-0.03898812630335102,0.12314713790483005,25,0.12,0.08921800674244437,-626.9155130640975,0.517966472776858,1.0,-26.73235203686528,,,
5a44c29f,2026-09-24T12:57:29.918739+00:00,S01b,1.0.0,V0,pair,1d,BCHUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,-0.005085808293973981,-0.0016981515175709117,0.019445449999187882,-0.07588960835029782,-0.15624628702093338,-0.03252268068725783,-0.05221437721879538,32,0.15625,0.11710356282711668,-657.9989323188825,1.0324001966523406,1.0,-11.885683144474777,,,
4f102a00,2026-09-24T12:57:31.447708+00:00,S01b,1.0.0,V0,pair,1d,LINKUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.002062852289672623,0.0006871451532797224,0.01671400107642129,0.05905964046292968,0.0939323432257044,-0.019287437414127306,0.035626565547604315,28,0.14285714285714285,0.15708181117945905,-686.6655812871426,1.0892003201862361,1.0,-24.246155036225385,,,
578bb152,2026-09-24T12:57:32.943441+00:00,S01b,1.0.0,V0,pair,1d,ZECUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.057526091684298564,0.018818987977703205,0.02657850352573883,0.7149701260827541,1.2607902373406776,-0.029005513099288116,0.6488072771987985,26,0.11538461538461539,0.12952943023476038,-784.8072615890832,0.7824664814353531,1.0,-0.9056105035020812,,,
8aa2dd6d,2026-09-24T12:57:55.212034+00:00,S02,1.0.0,V0,portfolio,1d,BNBUSDT;XRPUSDT;SOLUSDT;TRXUSDT;DOGEUSDT;ADAUSDT;BCHUSDT;LINKUSDT;ZECUSDT;HYPEUSDT,2023-01-01,2025-12-31,,dev,False,,,,,reports/dev/S02,0.18345138482720724,0.057751071788656905,0.23492217121640435,0.3639848803116561,0.525759666126669,-0.2975691807641454,0.19407611917455475,9,0.2222222222222222,0.08577098562415364,-296.3883539572793,16.4425589315768,1.0,-385.1649024214983,,,
86736e2e,2026-09-24T12:57:56.726625+00:00,S02,1.0.0,V0,pair,1d,BNBUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,-0.019937719983509683,-0.006690570564000353,0.04484177619633264,-0.12608357228100012,-0.18862922869709423,-0.09846247843558165,-0.06795045859400756,2,1.0,inf,878.2411663321634,1.48568444053763,1.0,-2.555915415865846,,,
c43c2d86,2026-09-24T12:57:58.251914+00:00,S02,1.0.0,V0,pair,1d,XRPUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.14722733286098988,0.046846877197940895,0.09854423334258071,0.5135802894710522,0.8392638169962606,-0.17766840411660634,0.2636759047331489,6,0.16666666666666666,0.0067389912533291916,-1188.0590890602427,48.35259986533989,1.0,-95.64695523556728,,,
6af34c00,2026-09-24T12:57:59.762601+00:00,S02,1.0.0,V0,pair,1d,SOLUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.24965184073532543,0.07711732420952555,0.08789897461888027,0.8895066290301388,1.4689064139591865,-0.06336859236291159,1.2169644509045592,2,0.5,0.5260651884931302,-38.6287914222574,59.89945171550339,1.0,-293.02875150301907,,,
b01c8e69,2026-09-24T12:58:01.288947+00:00,S02,1.0.0,V0,pair,1d,TRXUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.018186737986071844,0.00602586204689648,0.07059884141548055,0.12003663019085327,0.23045443144072864,-0.11745809867633228,0.051302227047803274,6,0.0,0.0,-569.4229519238183,26.52464548208741,1.0,-100.49347506527484,,,
1b32ee82,2026-09-24T12:58:02.849817+00:00,S02,1.0.0,V0,pair,1d,DOGEUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.19801890813972456,0.06207346256671631,0.07941856537054544,0.8003069773598811,1.3006860744053936,-0.08257165132802524,0.7517527089306043,2,0.5,0.155154328729685,-300.7484307802787,9.124785727566099,1.0,-120.8725153272655,,,
e8b7a182,2026-09-24T12:58:04.391005+00:00,S02,1.0.0,V0,pair,1d,ADAUSDT,2023-01-01,2025-12-31,,dev,False,,,,,,0.1097490410290256,0.03532076875058143,0.0904469463029552,0.4372912626867659,0.6035255403166285,-0.1900836422204819,0.18581698213469705,2,0.0,0.0,-567.5466961350147,6.936734418177836,1.0,-113.36064558290451,,,
